production_budget,worldwide_gross,title_year,aspect_ratio,duration.1,cast_total_facebook_likes,budget,imdb_score,opening_gross,screens
425000000,2783918982,2009,1.78,178,4834,237000000,7.9,77025481,3452
300000000,963420425,2007,2.35,169,48350,300000000,7.1,139802190,4362
300000000,879620923,2015,2.35,148,11700,245000000,6.8,70403148,3929
275000000,1084439099,2012,2.35,164,106759,250000000,8.5,160887295,4404
275000000,260002115,2013,2.35,150,45757,215000000,6.5,29210849,3904
275000000,282778100,2012,2.35,132,1873,263700000,6.6,30180188,3749
260000000,586581936,2010,1.85,100,2036,260000000,7.8,48767052,3603
258000000,890875303,2007,2.35,156,46055,258000000,6.2,151116516,4252
250000000,1404705868,2015,2.35,141,92000,250000000,7.5,191271109,4276
250000000,1150864745,2016,2.35,147,64798,250000000,8.2,179139142,4226
250000000,868160194,2016,2.35,183,24450,250000000,6.9,166007347,4242
250000000,1017003568,2012,2.35,182,9152,180000000,7.9,84617303,4045
250000000,935083686,2009,2.35,153,58753,250000000,7.5,77835727,4325
250000000,960366855,2013,2.35,186,9152,225000000,7.9,73645197,3903
250000000,955119788,2014,2.35,164,9152,250000000,7.5,54724334,3875
250000000,1045663875,2011,2.35,136,54083,250000000,6.7,90151958,4155
232000000,374085065,2006,2.35,169,29991,209000000,6.1,52535096,4065
230000000,591692078,2008,2.35,106,2023,200000000,6.7,67528882,3451
225000000,667999518,2013,2.35,143,20495,225000000,7.2,116619362,4207
225000000,417341288,2008,2.35,150,22697,225000000,6.6,55034805,3929
220000000,757890267,2012,2.35,153,28489,230000000,7,62004688,4318
215000000,1670328025,2015,2,124,8458,150000000,7,208806270,4274
210000000,836519699,2009,2.35,150,3218,200000000,6,108966307,4234
210000000,1104039076,2014,2.35,165,3988,210000000,5.7,100038390,4233
210000000,322241588,2010,2.35,156,3244,200000000,6.7,36063385,3503
209000000,305218228,2012,2.35,131,26679,209000000,5.9,25534825,3690
200000000,2207615668,1997,2.35,194,45223,200000000,7.7,28638131,2674
200000000,1069818229,2010,1.85,103,19085,200000000,8.3,110307189,4028
200000000,1215392272,2013,2.35,195,30426,200000000,7.2,174144585,4253
200000000,783705001,2004,2.35,135,43388,200000000,7.3,115817364,4152
200000000,1110526981,2012,2.35,143,2039,200000000,7.8,88364714,3505
200000000,743588329,2013,1.85,104,14863,200000000,7.3,82429469,4004
200000000,490359051,2013,2.35,130,73441,215000000,6.4,79110453,3912
200000000,747862775,2014,2.35,149,91434,200000000,8,90823660,3996
200000000,708996336,2014,2.35,142,28631,200000000,6.7,91608337,4324
200000000,560155383,2011,2.35,106,4482,200000000,6.3,66135507,4115
200000000,397562763,2010,2.35,125,25550,170000000,6.8,44026211,3451
200000000,788408539,2009,2.35,158,2144,200000000,5.8,65237614,3404
200000000,365491792,2009,2.35,118,27468,200000000,6.6,42558390,3530
200000000,231201172,2011,2.35,123,17657,200000000,5.6,53174303,3816
200000000,314594597,2010,2.35,116,16149,200000000,6.6,37813075,3646
195000000,1123790543,2011,2.35,154,2593,195000000,6.3,97400000,4013
195000000,197687603,2013,2.35,114,1766,195000000,6.3,27202226,3525
190000000,1514019071,2015,2.35,140,79150,190000000,7.2,147187040,4004
190000000,467381584,2013,2.35,132,21411,190000000,7.8,70165559,3868
190000000,531514650,2013,2.35,123,32392,190000000,7,66411834,3607
190000000,315709697,2009,2.35,96,48878,200000000,6.8,30051075,3683
190000000,411002906,2013,1.85,131,19166,190000000,7,37285325,3275
187500000,334354269,2015,2.35,93,696,53172536.85,6.8,39155217,3749
186000000,582443126,2008,2.35,126,39252,140000000,7.9,98618668,4105
185000000,1002891358,2008,2.35,152,57802,185000000,9,158411483,4366
185000000,786558145,2008,2.35,122,14959,185000000,6.2,126917373,4260
185000000,554606532,2012,2.35,93,5005,185000000,7.2,66323594,4164
185000000,196968626,2016,2.35,122,1327,185000000,7.5,59253211,3928
180000000,532590994,2008,2.35,98,2975,180000000,8.4,63087526,3992
180000000,180047784,2011,1.85,126,36017,170000000,7.5,11364505,1277
179000000,181982519,2015,2.35,127,47334,176000000,5.4,18372372,3181
178000000,530842489,2016,2.35,144,49684,178000000,7.3,65000000,4150
178000000,364406256,2014,2.35,113,12652,178000000,7.9,28760246,3490
175000000,853923085,2015,1.85,95,2944,175000000,8.3,90440272,3946
175000000,731542621,2009,1.85,96,2635,175000000,8.3,68108790,3
175000000,381687380,2009,2.35,94,2579,175000000,6.5,59321095,4104
175000000,302469017,2009,2.35,118,26683,175000000,5.8,54713046,4007
175000000,221229335,1999,1.85,106,15870,170000000,4.8,49705055,3342
175000000,405760225,2008,2.35,112,9131,145000000,5.2,40457770,3760
175000000,174131329,2007,2.35,96,108016,175000000,5.4,31192615,3604
175000000,151659062,2013,2.35,128,20965,175000000,6.3,9869000,2689
170000000,771172112,2014,2.35,121,32438,170000000,8.1,94320883,4080
170000000,623561331,2010,2.35,124,48638,200000000,7,128122480,4380
170000000,714401889,2014,2.35,136,36188,170000000,7.8,95023721,3938
170000000,703545589,2014,1.85,130,14363,170000000,7.6,72611427,3967
170000000,319090241,2004,2.35,100,16264,165000000,6.6,40428,11
170000000,401016924,2012,2.35,132,72881,170000000,6.1,56217700,3773
170000000,433058296,2003,2.35,109,1769,200000000,6.4,44041440,3504
170000000,277279693,2016,1.85,113,80806,170000000,6.4,28112000,3763
165000000,756244673,2010,2.35,93,4628,165000000,6.4,70838207,4359
165000000,652127828,2014,2.39,102,2963,165000000,7.9,56215889,3761
165000000,494870991,2010,2.35,98,20453,165000000,8.2,43732319,4055
165000000,496511521,2012,2.35,101,4451,165000000,7.8,49038712,3752
165000000,665417894,2014,2.35,169,31488,165000000,8.6,47510360,3561
165000000,379262220,2016,2.35,120,3233,165000000,5.5,41039944,4068
160000000,807330936,2007,1.85,93,4705,160000000,6.1,121629270,4122
160000000,650523427,2015,2.35,137,81385,160000000,6.6,102665981,4175
160000000,355408305,2011,2.35,132,50983,160000000,7.8,55101604,3641
160000000,329809326,2008,2.35,166,13333,150000000,7.8,26853816,2988
160000000,217986320,2010,2.35,109,13388,150000000,6.1,17619622,3504
160000000,181674817,2006,2.35,98,92456,160000000,5.6,22155410,3555
160000000,433125655,2016,2.35,123,5505,160000000,7.3,24166110,3400
155000000,418186950,2010,1.78,113,764,155000000,6.3,24005069,3555
155000000,440160956,2015,2.35,126,38873,155000000,6.6,27018486,3758
155000000,167297191,2004,2.35,206,24598,155000000,5.5,13687087,2445
151500000,449239855,2001,2.35,184,5401,140000000,6.1,75177654,3214
150000000,1274234980,2013,2.24,102,2582,150000000,7.6,67391326,3742
150000000,942943935,2007,2.35,138,33433,150000000,7.5,77108414,4
150000000,896911078,2005,2.35,157,53413,150000000,7.6,102335066,3858
150000000,738576929,2003,2.35,138,534,150000000,7.2,91774413,3603
150000000,585532684,2007,2.35,104,13076,150000000,7.2,77211321,3606
150000000,624234272,2008,2.35,102,21584,150000000,6.4,62603879,3965
150000000,626549695,2007,2.35,111,4764,150000000,8,47027395,3940
150000000,644600394,2013,2.35,112,59803,170000000,7.1,85737841,3841
150000000,359142722,2005,2.35,128,59558,150000000,8.3,48745440,3858
150000000,700868363,2015,2.35,131,21840,150000000,7.4,55520089,3956
150000000,449326618,2011,2.35,115,60059,150000000,7,65723338,3955
150000000,599516844,2008,1.85,89,3285,150000000,6.7,63106589,4056
150000000,374825760,2009,2.35,119,40054,150000000,6.7,85058003,4099
150000000,402231063,2009,2.35,105,54039,150000000,5.9,70052004,4096
150000000,664837547,2011,2.35,90,21015,150000000,7.3,47835000,3925
150000000,373136354,2015,2.35,120,40025,150000000,8.1,45428128,3702
150000000,427289109,2003,2.35,129,1062,150000000,6.7,48475154,3502
150000000,397501348,2006,2.35,124,34817,150000000,6.9,47743273,4054
150000000,490875846,2009,2.35,146,16948,150000000,6.7,46204168,3527
150000000,319713881,2010,2.35,103,2857,150000000,4.2,51804232,3169
