,actor_1_name,director_name
0,CCH Pounder,James Cameron
1,Doug Walker,Doug Walker
2,Johnny Depp,Gore Verbinski
3,Christoph Waltz,Sam Mendes
4,Tom Hardy,Christopher Nolan
5,Johnny Depp,Gore Verbinski
6,Daryl Sabara,Andrew Stanton
7,Brad Garrett,Nathan Greno
8,J.K. Simmons,Sam Raimi
9,J.K. Simmons,Sam Raimi
10,Chris Hemsworth,Joss Whedon
11,Robert Downey Jr.,Anthony Russo
12,Henry Cavill,Zack Snyder
13,Aidan Turner,Peter Jackson
14,Alan Rickman,David Yates
15,Aidan Turner,Peter Jackson
16,Aidan Turner,Peter Jackson
17,Johnny Depp,Rob Marshall
18,Kevin Spacey,Bryan Singer
19,Giancarlo Giannini,Marc Forster
20,Johnny Depp,Gore Verbinski
21,Henry Cavill,Zack Snyder
22,Peter Dinklage,Andrew Adamson
23,Emma Stone,Marc Webb
24,Bryce Dallas Howard,Colin Trevorrow
25,Glenn Morshower,Michael Bay
26,Bingbing Li,Michael Bay
27,Hugh Jackman,Brett Ratner
28,Mark Addy,Ridley Scott
29,Liam Neeson,Peter Berg
30,Leonardo DiCaprio,James Cameron
31,Tom Hanks,Lee Unkrich
32,Robert Downey Jr.,Shane Black
33,J.K. Simmons,Sam Raimi
34,Albert Finney,Sam Mendes
35,Albert Finney,Sam Mendes
36,Steve Buscemi,Dan Scanlon
37,Tim Holmes,Sam Raimi
38,Tim Holmes,Sam Raimi
39,Jennifer Lawrence,Bryan Singer
40,Emma Stone,Marc Webb
41,Joe Mantegna,John Lasseter
42,Jeff Bridges,Joseph Kosinski
43,Jeff Bridges,Joseph Kosinski
44,Oliver Platt,Roland Emmerich
45,Christian Bale,McG
46,Ryan Reynolds,Martin Campbell
47,Jake Gyllenhaal,Mike Newell
48,Glenn Morshower,Michael Bay
49,Eddie Marsan,Bryan Singer
50,Jason Statham,James Wan
51,Benedict Cumberbatch,J.J. Abrams
52,Peter Capaldi,Marc Forster
53,Robin Wright,Robert Zemeckis
54,Charlie Hunnam,Guillermo del Toro
55,A.J. Buckley,Peter Sohn
56,Robert Downey Jr.,Jon Favreau
57,Christian Bale,Christopher Nolan
58,Harrison Ford,Steven Spielberg
59,Kelly Macdonald,Mark Andrews
60,Sofia Boutella,Justin Lin
61,Jim Broadbent,Andrew Adamson
62,Angelina Jolie Pitt,Robert Stromberg
63,John Ratzenberger,Andrew Stanton
64,Chloë Grace Moretz,Martin Scorsese
65,Channing Tatum,Lana Wachowski
66,Jennifer Lawrence,Bryan Singer
67,Tom Cruise,Doug Liman
68,Amy Poehler,Pete Docter
69,John Ratzenberger,Pete Docter
70,Amy Poehler,Rob Letterman
71,Will Smith,David Ayer
72,Joseph Gordon-Levitt,Stephen Sommers
73,Will Smith,Barry Sonnenfeld
74,Jet Li,Rob Cohen
75,Jimmy Bennett,Tom Shadyac
76,Jeanne Tripplehorn,Kevin Reynolds
77,Keanu Reeves,Carl Rinsch
78,Bradley Cooper,James Gunn
79,Robert Downey Jr.,Jon Favreau
80,Scarlett Johansson,Anthony Russo
81,Gary Oldman,Matt Reeves
82,Tom Hanks,Robert Zemeckis
83,Chris Hemsworth,Rupert Sanders
84,Nick Stahl,Jonathan Mostow
85,Johnny Depp,James Bobin
86,Jon Hamm,Mike Mitchell
87,Damon Wayans Jr.,Don Hall
88,Gerard Butler,Dean DeBlois
89,Jack McBrayer,Rich Moore
90,Matthew McConaughey,Christopher Nolan
91,Vivica A. Fox,Roland Emmerich
92,Justin Timberlake,Chris Miller
93,Jennifer Lawrence,Francis Lawrence
94,Jennifer Lawrence,Matthew Vaughn
95,Brad Pitt,David Fincher
96,Nicolas Cage,Jon Turteltaub
97,Jimmy Bennett,Wolfgang Petersen
98,Dominic Cooper,Duncan Jones
99,Bruce Spence,Michael Apted
100,J.K. Simmons,Alan Taylor
101,Anthony Hopkins,Oliver Stone
102,Jennifer Garner,Michael Bay
103,Josh Gad,Chris Buck
104,Robert Pattinson,David Yates
105,Robert Pattinson,Mike Newell
106,Steve Bastoni,Lana Wachowski
107,Will Smith,Francis Lawrence
108,Will Smith,Peter Berg
109,Johnny Depp,Tim Burton
110,Janeane Garofalo,Brad Bird
111,Chris Hemsworth,Alan Taylor
112,Christian Bale,Christopher Nolan
113,Tom Cruise,Christopher McQuarrie
114,Chris Hemsworth,Kenneth Branagh
115,Bernie Mac,Eric Darnell
116,Hugh Jackman,Gavin Hood
117,Robin Williams,Shawn Levy
118,Angelina Jolie Pitt,Jennifer Yuh Nelson
119,Tom Hardy,George Miller
120,Essie Davis,Lana Wachowski
121,Philip Seymour Hoffman,J.J. Abrams
122,Tom Hanks,Ron Howard
123,Seychelle Gabriel,M. Night Shyamalan
124,Matthew Broderick,Steve Hickner
125,Kelli Garner,Hoyt Yeatman
126,Liam Neeson,Jonathan Liebesman
127,Robin Wright,Robert Zemeckis
128,Johnny Depp,Tim Burton
129,Channing Tatum,Roland Emmerich
130,Anthony Hopkins,Joe Johnston
131,Elisabeth Harnois,Simon Wells
132,Hugh Jackman,David Bowers
133,Jada Pinkett Smith,Eric Darnell
134,Tom Cruise,Brad Bird
135,Gerard Butler,Dean DeBlois
136,Gideon Emery,Gideon Raff
137,Ty Burrell,Rob Minkoff
138,Hugh Jackman,Peter Ramsey
139,Matthew McConaughey,Breck Eisner
140,Toby Stephens,Lee Tamahori
141,Chris Hemsworth,J.J. Abrams
142,Bruce Willis,Michael Bay
143,Chris Evans,Joe Johnston
144,J.K. Simmons,Alessandro Carloni
145,Channing Tatum,Jon M. Chu
146,Tom Cruise,Edward Zwick
147,John Michael Higgins,Dean Parisot
148,Christian Bale,Ridley Scott
149,Christian Bale,Ridley Scott
150,Mark Rylance,Steven Spielberg
151,Gerard Butler,Alex Proyas
152,J.K. Simmons,Sam Raimi
153,Matt Frewer,Zack Snyder
154,Sam Shepard,Rob Cohen
155,Ty Burrell,Louis Leterrier
156,Kevin Rankin,Ang Lee
157,Steve Buscemi,Hironobu Sakaguchi
158,Ryan Reynolds,Kirk De Micco
159,Leonardo DiCaprio,Alejandro G. Iñárritu
160,Colin Salmon,Michael Apted
161,Johnny Depp,Gore Verbinski
162,James D'Arcy,Peter Weir
163,Ryan Reynolds,David Soren
164,Stephen Amell,Dave Green
